"","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71"
20070223,11,24,61,49,23,36,13,41,52,75,102,68,71,12,9,99,87,64,46,27,47,22,82,42,10,77,59,89,7,39,97,80,74,51,6,96,55,81,8,29,44,101,50,85,67,18,95,43,57,20,19,84,14,63,70,32,86,2,28,94,58,21,31,33,48,93,56,60,16,1
20070226,11,24,61,49,23,36,13,41,52,75,102,68,71,12,9,99,87,64,46,27,47,22,82,42,10,77,59,89,7,39,97,80,74,51,6,96,55,81,8,29,44,101,50,85,67,18,95,43,57,20,19,84,14,63,70,32,86,2,28,94,58,21,31,33,48,93,56,60,16,1
20070227,11,24,61,49,23,36,13,41,52,75,102,68,71,12,9,99,87,64,46,27,47,22,82,42,10,77,59,89,7,39,97,80,74,51,6,96,55,81,8,29,44,101,50,85,67,18,95,43,57,20,19,84,14,63,70,32,86,2,28,94,58,21,31,33,48,93,56,60,16,1
20070228,11,24,61,49,23,36,13,41,52,75,102,68,71,12,9,99,87,64,46,27,47,22,82,42,10,77,59,89,7,39,97,80,74,51,6,96,55,81,8,29,44,101,50,85,67,18,95,43,57,20,19,84,14,63,70,32,86,2,28,94,58,21,31,33,48,93,56,60,16,1
20070301,11,24,61,49,23,36,13,41,52,75,102,68,71,12,9,99,87,64,46,27,47,22,82,42,10,77,59,89,7,39,97,80,74,51,6,96,55,81,8,29,44,101,50,85,67,18,95,43,57,20,19,84,14,63,70,32,86,2,28,94,58,21,31,33,48,93,56,60,16,1
20070302,11,24,61,49,23,36,13,41,52,75,102,68,71,12,9,99,87,64,46,27,47,22,82,42,10,77,59,89,7,39,97,80,74,51,6,96,55,81,8,29,44,101,50,85,67,18,95,43,57,20,19,84,14,63,70,32,86,2,28,94,58,21,31,33,48,93,56,60,16,1
20070305,11,24,61,49,23,36,13,41,52,75,102,68,71,12,9,99,87,64,46,27,47,22,82,42,10,77,59,89,7,39,97,80,74,51,6,96,55,81,8,29,44,101,50,85,67,18,95,43,57,20,19,84,14,63,70,32,86,2,28,94,58,21,31,33,48,93,56,60,16,1
20070306,11,24,61,49,23,36,13,41,52,75,102,68,71,12,9,99,87,64,46,27,47,22,82,42,10,77,59,89,7,39,97,80,74,51,6,96,55,81,8,29,44,101,50,85,67,18,95,43,57,20,19,84,14,63,70,32,86,2,28,94,58,21,31,33,48,93,56,60,16,1
20070307,11,24,61,49,23,36,13,41,52,75,102,68,71,12,9,99,87,64,46,27,47,22,82,42,10,77,59,89,7,39,97,80,74,51,6,96,55,81,8,29,44,101,50,85,67,18,95,43,57,20,19,84,14,63,70,32,86,2,28,94,58,21,31,33,48,93,56,60,16,1
20070308,11,24,61,49,23,36,13,41,52,75,102,68,71,12,9,99,87,64,46,27,47,22,82,42,10,77,59,89,7,39,97,80,74,51,6,96,55,81,8,29,44,101,50,85,67,18,95,43,57,20,19,84,14,63,70,32,86,2,28,94,58,21,31,33,48,93,56,60,16,1
20070309,11,24,61,49,23,36,13,41,52,75,102,68,71,12,9,99,87,64,46,27,47,22,82,42,10,77,59,89,7,39,97,80,74,51,6,96,55,81,8,29,44,101,50,85,67,18,95,43,57,20,19,84,14,63,70,32,86,2,28,94,58,21,31,33,48,93,56,60,16,1
20070312,11,24,61,49,23,36,13,41,52,75,102,68,71,12,9,99,87,64,46,27,47,22,82,42,10,77,59,89,7,39,97,80,74,51,6,96,55,81,8,29,44,101,50,85,67,18,95,43,57,20,19,84,14,63,70,32,86,2,28,94,58,21,31,33,48,93,56,60,16,1
20070313,11,24,61,49,23,36,13,41,52,75,102,68,71,12,9,99,87,64,46,27,47,22,82,42,10,77,59,89,7,39,97,80,74,51,6,96,55,81,8,29,44,101,50,85,67,18,95,43,57,20,19,84,14,63,70,32,86,2,28,94,58,21,31,33,48,93,56,60,16,1
20070314,11,24,61,49,23,36,13,41,52,75,102,68,71,12,9,99,87,64,46,27,47,22,82,42,10,77,59,89,7,39,97,80,74,51,6,96,55,81,8,29,44,101,50,85,67,18,95,43,57,20,19,84,14,63,70,32,86,2,28,94,58,21,31,33,48,93,56,60,16,1
20070315,11,24,61,49,23,36,13,41,52,75,102,68,71,12,9,99,87,64,46,27,47,22,82,42,10,77,59,89,7,39,97,80,74,51,6,96,55,81,8,29,44,101,50,85,67,18,95,43,57,20,19,84,14,63,70,32,86,2,28,94,58,21,31,33,48,93,56,60,16,1
20070316,11,24,61,49,23,36,13,41,52,75,102,68,71,12,9,99,87,64,46,27,47,22,82,42,10,77,59,89,7,39,97,80,74,51,6,96,55,81,8,29,44,101,50,85,67,18,95,43,57,20,19,84,14,63,70,32,86,2,28,94,58,21,31,33,48,93,56,60,16,1
20070319,11,24,61,49,23,36,13,41,52,75,102,68,71,12,9,99,87,64,46,27,47,22,82,42,10,77,59,89,7,39,97,80,74,51,6,96,55,81,8,29,44,101,50,85,67,18,95,43,57,20,19,84,14,63,70,32,86,2,28,94,58,21,31,33,48,93,56,60,16,1
20070320,11,24,61,49,23,36,13,41,52,75,102,68,71,12,9,99,87,64,46,27,47,22,82,42,10,77,59,89,7,39,97,80,74,51,6,96,55,81,8,29,44,101,50,85,67,18,95,43,57,20,19,84,14,63,70,32,86,2,28,94,58,21,31,33,48,93,56,60,16,1
20070321,11,24,61,49,23,36,13,41,52,75,102,68,71,12,9,99,87,64,46,27,47,22,82,42,10,77,59,89,7,39,97,80,74,51,6,96,55,81,8,29,44,101,50,85,67,18,95,43,57,20,19,84,14,63,70,32,86,2,28,94,58,21,31,33,48,93,56,60,16,1
20070322,11,24,61,49,23,36,13,41,52,75,102,68,71,12,9,99,87,64,46,27,47,22,82,42,10,77,59,89,7,39,97,80,74,51,6,96,55,81,8,29,44,101,50,85,67,18,95,43,57,20,19,84,14,63,70,32,86,2,28,94,58,21,31,33,48,93,56,60,16,1
20070323,11,24,61,49,23,36,13,41,52,75,102,68,71,12,9,99,87,64,46,27,47,22,82,42,10,77,59,89,7,39,97,80,74,51,6,96,55,81,8,29,44,101,50,85,67,18,95,43,57,20,19,84,14,63,70,32,86,2,28,94,58,21,31,33,48,93,56,60,16,1
20070326,11,24,61,49,23,36,13,41,52,75,102,68,71,12,9,99,87,64,46,27,47,22,82,42,10,77,59,89,7,39,97,80,74,51,6,96,55,81,8,29,44,101,50,85,67,18,95,43,57,20,19,84,14,63,70,32,86,2,28,94,58,21,31,33,48,93,56,60,16,1
20070327,11,24,61,49,23,36,13,41,52,75,102,68,71,12,9,99,87,64,46,27,47,22,82,42,10,77,59,89,7,39,97,80,74,51,6,96,55,81,8,29,44,101,50,85,67,18,95,43,57,20,19,84,14,63,70,32,86,2,28,94,58,21,31,33,48,93,56,60,16,1
20070328,11,24,61,49,23,36,13,41,52,75,102,68,71,12,9,99,87,64,46,27,47,22,82,42,10,77,59,89,7,39,97,80,74,51,6,96,55,81,8,29,44,101,50,85,67,18,95,43,57,20,19,84,14,63,70,32,86,2,28,94,58,21,31,33,48,93,56,60,16,1
20070329,11,24,61,49,23,36,13,41,52,75,102,68,71,12,9,99,87,64,46,27,47,22,82,42,10,77,59,89,7,39,97,80,74,51,6,96,55,81,8,29,44,101,50,85,67,18,95,43,57,20,19,84,14,63,70,32,86,2,28,94,58,21,31,33,48,93,56,60,16,1
20070330,11,24,61,49,23,36,13,41,52,75,102,68,71,12,9,99,87,64,46,27,47,22,82,42,10,77,59,89,7,39,97,80,74,51,6,96,55,81,8,29,44,101,50,85,67,18,95,43,57,20,19,84,14,63,70,32,86,2,28,94,58,21,31,33,48,93,56,60,16,1
20070402,11,24,61,49,23,36,13,41,52,75,102,68,71,12,9,99,87,64,46,27,47,22,82,42,10,77,59,89,7,39,97,80,74,51,6,96,55,81,8,29,44,101,50,85,67,18,95,43,57,20,19,84,14,63,70,32,86,2,28,94,58,21,31,33,48,93,56,60,16,1
20070403,11,24,61,49,23,36,13,41,52,75,102,68,71,12,9,99,87,64,46,27,47,22,82,42,10,77,59,89,7,39,97,80,74,51,6,96,55,81,8,29,44,101,50,85,67,18,95,43,57,20,19,84,14,63,70,32,86,2,28,94,58,21,31,33,48,93,56,60,16,1
20070404,11,24,61,49,23,36,13,41,52,75,102,68,71,12,9,99,87,64,46,27,47,22,82,42,10,77,59,89,7,39,97,80,74,51,6,96,55,81,8,29,44,101,50,85,67,18,95,43,57,20,19,84,14,63,70,32,86,2,28,94,58,21,31,33,48,93,56,60,16,1
20070405,11,24,61,49,23,36,13,41,52,75,102,68,71,12,9,99,87,64,46,27,47,22,82,42,10,77,59,89,7,39,97,80,74,51,6,96,55,81,8,29,44,101,50,85,67,18,95,43,57,20,19,84,14,63,70,32,86,2,28,94,58,21,31,33,48,93,56,60,16,1
20070409,11,24,61,49,23,36,13,41,52,75,102,68,71,12,9,99,87,64,46,27,47,22,82,42,10,77,59,89,7,39,97,80,74,51,6,96,55,81,8,29,44,101,50,85,67,18,95,43,57,20,19,84,14,63,70,32,86,2,28,94,58,21,31,33,48,93,56,60,16,1
20070410,11,24,61,49,23,36,13,41,52,75,102,68,71,12,9,99,87,64,46,27,47,22,82,42,10,77,59,89,7,39,97,80,74,51,6,96,55,81,8,29,44,101,50,85,67,18,95,43,57,20,19,84,14,63,70,32,86,2,28,94,58,21,31,33,48,93,56,60,16,1
20070411,11,24,61,49,23,36,13,41,52,75,102,68,71,12,9,99,87,64,46,27,47,22,82,42,10,77,59,89,7,39,97,80,74,51,6,96,55,81,8,29,44,101,50,85,67,18,95,43,57,20,19,84,14,63,70,32,86,2,28,94,58,21,31,33,48,93,56,60,16,1
20070412,11,24,61,49,23,36,13,41,52,75,102,68,71,12,9,99,87,64,46,27,47,22,82,42,10,77,59,89,7,39,97,80,74,51,6,96,55,81,8,29,44,101,50,85,67,18,95,43,57,20,19,84,14,63,70,32,86,2,28,94,58,21,31,33,48,93,56,60,16,1
20070413,11,24,61,49,23,36,13,41,52,75,102,68,71,12,9,99,87,64,46,27,47,22,82,42,10,77,59,89,7,39,97,80,74,51,6,96,55,81,8,29,44,101,50,85,67,18,95,43,57,20,19,84,14,63,70,32,86,2,28,94,58,21,31,33,48,93,56,60,16,1
20070416,11,24,61,49,23,36,13,41,52,75,102,68,71,12,9,99,87,64,46,27,47,22,82,42,10,77,59,89,7,39,97,80,74,51,6,96,55,81,8,29,44,101,50,85,67,18,95,43,57,20,19,84,14,63,70,32,86,2,28,94,58,21,31,33,48,93,56,60,16,1
20070417,11,24,61,49,23,36,13,41,52,75,102,68,71,12,9,99,87,64,46,27,47,22,82,42,10,77,59,89,7,39,97,80,74,51,6,96,55,81,8,29,44,101,50,85,67,18,95,43,57,20,19,84,14,63,70,32,86,2,28,94,58,21,31,33,48,93,56,60,16,1
20070418,11,24,61,49,23,36,13,41,52,75,102,68,71,12,9,99,87,64,46,27,47,22,82,42,10,77,59,89,7,39,97,80,74,51,6,96,55,81,8,29,44,101,50,85,67,18,95,43,57,20,19,84,14,63,70,32,86,2,28,94,58,21,31,33,48,93,56,60,16,1
20070419,11,24,61,49,23,36,13,41,52,75,102,68,71,12,9,99,87,64,46,27,47,22,82,42,10,77,59,89,7,39,97,80,74,51,6,96,55,81,8,29,44,101,50,85,67,18,95,43,57,20,19,84,14,63,70,32,86,2,28,94,58,21,31,33,48,93,56,60,16,1
20070420,11,24,61,49,23,36,13,41,52,75,102,68,71,12,9,99,87,64,46,27,47,22,82,42,10,77,59,89,7,39,97,80,74,51,6,96,55,81,8,29,44,101,50,85,67,18,95,43,57,20,19,84,14,63,70,32,86,2,28,94,58,21,31,33,48,93,56,60,16,1
20070423,11,24,61,49,23,36,13,41,52,75,102,68,71,12,9,99,87,64,46,27,47,22,82,42,10,77,59,89,7,39,97,80,74,51,6,96,55,81,8,29,44,101,50,85,67,18,95,43,57,20,19,84,14,63,70,32,86,2,28,94,58,21,31,33,48,93,56,60,16,1
20070424,11,24,61,49,23,36,13,41,52,75,102,68,71,12,9,99,87,64,46,27,47,22,82,42,10,77,59,89,7,39,97,80,74,51,6,96,55,81,8,29,44,101,50,85,67,18,95,43,57,20,19,84,14,63,70,32,86,2,28,94,58,21,31,33,48,93,56,60,16,1
20070425,11,24,61,49,23,36,13,41,52,75,102,68,71,12,9,99,87,64,46,27,47,22,82,42,10,77,59,89,7,39,97,80,74,51,6,96,55,81,8,29,44,101,50,85,67,18,95,43,57,20,19,84,14,63,70,32,86,2,28,94,58,21,31,33,48,93,56,60,16,1
20070426,11,24,61,49,23,36,13,41,52,75,102,68,71,12,9,99,87,64,46,27,47,22,82,42,10,77,59,89,7,39,97,80,74,51,6,96,55,81,8,29,44,101,50,85,67,18,95,43,57,20,19,84,14,63,70,32,86,2,28,94,58,21,31,33,48,93,56,60,16,1
20070427,11,24,61,49,23,36,13,41,52,75,102,68,71,12,9,99,87,64,46,27,47,22,82,42,10,77,59,89,7,39,97,80,74,51,6,96,55,81,8,29,44,101,50,85,67,18,95,43,57,20,19,84,14,63,70,32,86,2,28,94,58,21,31,33,48,93,56,60,16,1
20070430,11,24,61,49,23,36,13,41,52,75,102,68,71,12,9,99,87,64,46,27,47,22,82,42,10,77,59,89,7,39,97,80,74,51,6,96,55,81,8,29,44,101,50,85,67,18,95,43,57,20,19,84,14,63,70,32,86,2,28,94,58,21,31,33,48,93,56,60,16,1
20070501,11,24,61,49,23,36,13,41,52,75,102,68,71,12,9,99,87,64,46,27,47,22,82,42,10,77,59,89,7,39,97,80,74,51,6,96,55,81,8,29,44,101,50,85,67,18,95,43,57,20,19,84,14,63,70,32,86,2,28,94,58,21,31,33,48,93,56,60,16,1
20070502,11,24,61,49,23,36,13,41,52,75,102,68,71,12,9,99,87,64,46,27,47,22,82,42,10,77,59,89,7,39,97,80,74,51,6,96,55,81,8,29,44,101,50,85,67,18,95,43,57,20,19,84,14,63,70,32,86,2,28,94,58,21,31,33,48,93,56,60,16,1
20070503,11,24,61,49,23,36,13,41,52,75,102,68,71,12,9,99,87,64,46,27,47,22,82,42,10,77,59,89,7,39,97,80,74,51,6,96,55,81,8,29,44,101,50,85,67,18,95,43,57,20,19,84,14,63,70,32,86,2,28,94,58,21,31,33,48,93,56,60,16,1
20070504,11,24,61,49,23,36,13,41,52,75,102,68,71,12,9,99,87,64,46,27,47,22,82,42,10,77,59,89,7,39,97,80,74,51,6,96,55,81,8,29,44,101,50,85,67,18,95,43,57,20,19,84,14,63,70,32,86,2,28,94,58,21,31,33,48,93,56,60,16,1
20070507,11,24,61,49,23,36,13,41,52,75,102,68,71,12,9,99,87,64,46,27,47,22,82,42,10,77,59,89,7,39,97,80,74,51,6,96,55,81,8,29,44,101,50,85,67,18,95,43,57,20,19,84,14,63,70,32,86,2,28,94,58,21,31,33,48,93,56,60,16,1
20070508,11,24,61,49,23,36,13,41,52,75,102,68,71,12,9,99,87,64,46,27,47,22,82,42,10,77,59,89,7,39,97,80,74,51,6,96,55,81,8,29,44,101,50,85,67,18,95,43,57,20,19,84,14,63,70,32,86,2,28,94,58,21,31,33,48,93,56,60,16,1
20070509,11,24,61,49,23,36,13,41,52,75,102,68,71,12,9,99,87,64,46,27,47,22,82,42,10,77,59,89,7,39,97,80,74,51,6,96,55,81,8,29,44,101,50,85,67,18,95,43,57,20,19,84,14,63,70,32,86,2,28,94,58,21,31,33,48,93,56,60,16,1
20070510,11,24,61,49,23,36,13,41,52,75,102,68,71,12,9,99,87,64,46,27,47,22,82,42,10,77,59,89,7,39,97,80,74,51,6,96,55,81,8,29,44,101,50,85,67,18,95,43,57,20,19,84,14,63,70,32,86,2,28,94,58,21,31,33,48,93,56,60,16,1
20070511,11,24,61,49,23,36,13,41,52,75,102,68,71,12,9,99,87,64,46,27,47,22,82,42,10,77,59,89,7,39,97,80,74,51,6,96,55,81,8,29,44,101,50,85,67,18,95,43,57,20,19,84,14,63,70,32,86,2,28,94,58,21,31,33,48,93,56,60,16,1
20070514,11,24,61,49,23,36,13,41,52,75,102,68,71,12,9,99,87,64,46,27,47,22,82,42,10,77,59,89,7,39,97,80,74,51,6,96,55,81,8,29,44,101,50,85,67,18,95,43,57,20,19,84,14,63,70,32,86,2,28,94,58,21,31,33,48,93,56,60,16,1
20070515,11,24,61,49,23,36,13,41,52,75,102,68,71,12,9,99,87,64,46,27,47,22,82,42,10,77,59,89,7,39,97,80,74,51,6,96,55,81,8,29,44,101,50,85,67,18,95,43,57,20,19,84,14,63,70,32,86,2,28,94,58,21,31,33,48,93,56,60,16,1
20070516,11,24,61,49,23,36,13,41,52,75,102,68,71,12,9,99,87,64,46,27,47,22,82,42,10,77,59,89,7,39,97,80,74,51,6,96,55,81,8,29,44,101,50,85,67,18,95,43,57,20,19,84,14,63,70,32,86,2,28,94,58,21,31,33,48,93,56,60,16,1
20070517,11,24,61,49,23,36,13,41,52,75,102,68,71,12,9,99,87,64,46,27,47,22,82,42,10,77,59,89,7,39,97,80,74,51,6,96,55,81,8,29,44,101,50,85,67,18,95,43,57,20,19,84,14,63,70,32,86,2,28,94,58,21,31,33,48,93,56,60,16,1
