"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71"
20070118,76619.7874,267254.3477,304744.2588,119067.9,160623.4109,419705.8567,239308.7629,391707.8594,166680.8526,63606.7735,122209.9273,88719.1085,195907.7859,219217.9327,184424.2213,201690.7487,97137.6162,85181.171,28787.7254,103041.6456,83410.4066,154604.3707,42023.6027,17420.8188,85960.7433,68460.8059,99301.6628,91641.5694,15232.8935,15451.1516,109686.1929,27001.2609,207680.163,196315.3423,184332.7001,62527.071,51150.3817,52830.1709,71081.6544,26856.5523,149352.6203,74154.1933,149806.6872,113322.5317,36679.638,52452.6397,72468.3964,30422.148,55146.6172,38967.0156,30964.8875,69585.0654,30944.9503,29354.791,106603.9258,46358.1216,39105.5637,81025.4584,25736.6785,65146.9785,62322.3503,20476.8453,23448.5375,60019.4541,36775.6026,80311.7906,13833.1646,46564.3031,17368.7728,58033.0115
20070119,76129.462,267704,305825.6094,120048.12,162141.5906,428862.8633,240655.9693,385145.5465,168792.4896,64234.7438,121669.773,89496.4372,196268.3081,219530.9223,185542.1014,201357.3066,97420.2085,85485.352,29531.8021,105246.9771,82757.3278,157656.3464,42127.4746,17845.02705,86613.9936,72126.2377,98997.7225,90284.5079,15249.3704,15677.8189,108751.9479,26827.6436,209422.9779,196460.31,182886.5425,62333.7064,51333.1161,53551.6364,69985.3103,27408.3428,149940.4419,73430.2333,144865.8532,113111.5901,37638.4728,52373.9706,71660.1987,30155.4484,55418.7019,38622.2324,32214.5915,70083.2312,31005.4192,29517.843,106439.7177,46762.83536,40194.4826,82145.9089,25677.8776,65417.9643,61896.431,20476.8453,23523.854,59928.927,36979.73,80537.2347,14175.9906,46746.7592,17476.6533,58357.0125
20070122,74658.486,268588.16,301991.73,119875.14,161109.2284,425188.3957,240925.4106,383060.8616,171908.0196,63639.8246,120690.7432,88097.2456,194321.488,220782.8808,183176.3551,199898.4977,98661.7614,87383.861,29481.5266,104308.8884,81736.8922,155258.3655,42424.2515,18297.51585,88480.4231,72126.2377,98346.4217,89925.2857,15220.5358,15885.5972,108751.9479,26638.9292,208250.5388,194778.684,182488.3252,62034.8703,50906.736,52821.582,69949.167,27202.4508,148759.6842,72706.2732,146281.8239,112572.517,36847.8546,52078.9614,70299.7325,29543.8786,54849.7975,37841.591,32259.5155,67687.2909,30824.0125,28974.3364,106423.2969,46082.1804,39850.6135,81838.9362,25483.3825,64323.9848,61217.2624,20175.1675,23398.3265,59668.6617,36138.7249,79742.8125,14524.2154,46830.3849,16917.0229,57797.3743
20070123,73720.8463,267654.88,302188.3392,118491.3,158133.5963,434462.0521,237708.6309,380976.1766,172496.5086,63011.8544,121568.494,88719.1085,190139.43,221346.2621,181460.5392,199273.2939,98508.8836,86660.12,29893.7854,106925.6623,82512.4233,158179.5422,43922.9746,18042.9909,87022.2751,75224.1187,99279.9528,89645.8907,15006.3361,15677.8189,109452.6316,26382.2776,207997.0385,192807.1224,183934.4828,62228.2348,51226.521,52761.4599,69322.6847,27383.6358,148205.9037,73595.7099,146236.6334,112783.4586,37924.4411,52452.6397,69329.8952,29355.3496,55468.1718,38745.8339,32692.4195,69078.9922,30672.8403,29881.9924,106472.5593,45686.66468,39497.1924,81931.028,25528.614,66381.4691,60814.3658,20089.5059,23435.9847,59578.1346,36302.0269,79034.2738,14632.1921,46959.6246,16563.0397,58062.4661
20070124,74581.0662,269324.96,305629.0002,120163.44,163295.4072,436853.3723,237173.6527,381914.2848,174331.2095,63821.6055,123425.2747,88822.7523,193384.1302,229296.1986,181668.5169,202607.7142,101964.848,88789.3871,30316.0992,107995.4127,83043.0498,158789.9374,44516.5283,18518.10414,87652.195,75685.2537,100343.7441,89885.3721,15348.2318,15488.9295,111145.9505,26261.5003,207585.1004,194285.7936,184269.8237,62439.178,51150.3817,52804.4043,70997.3203,27062.4443,154399.5833,73119.9647,146718.666,112806.8966,38858.0434,53081.9928,69774.404,29543.8786,54614.8153,38856.4248,32770.0155,69268.7697,30899.5986,30458.1094,107063.7086,46247.74512,40175.3788,82191.9549,25809.0488,67073.9882,61516.5571,20547.6092,23536.4067,60347.6148,36269.3665,79925.3149,15038.4545,47704.6534,16448.4166,58533.7404
20070125,74193.9672,264904.16,298175.9751,118779.6,159226.6856,428804.5384,233607.1316,378787.2574,173811.9545,63212.7387,121804.8116,87993.6018,190067.3256,230297.7654,179094.7929,200690.4226,98708.088,86240.56,29903.8405,105428.0118,81818.527,155912.3603,45213.9539,18744.34854,87313.9047,74041.7214,99866.1235,87969.5205,15274.0858,15526.7074,109481.8268,25642.517,205715.5353,193329.0064,184123.112,61999.7131,50373.7609,52117.2942,69599.7826,26971.8518,151002.6501,72271.8972,146884.3647,112361.5754,38185.1769,51685.6158,70178.5028,29157.624,53180.187,38791.3713,32132.9115,68130.105,30642.6059,29805.9015,105782.8851,45677.46664,40060.7557,80718.4856,25207.4709,66451.7247,61459.0004,20085.7815,23749.8035,60121.2971,36089.7343,79023.5384,14559.3079,46815.1802,16111.2898,58180.2847
20070126,73445.5759,268539.04,299644.8223,118375.98,160016.1391,429329.4624,232002.1971,375972.9327,172046.4876,62136.0018,121636.0133,88874.5742,189562.5944,227856.4463,178314.8765,198689.7704,98907.2924,86135.67,29310.5901,106596.5084,81512.3964,155868.7606,46030.0903,18625.57023,83406.0679,74077.1933,99844.4135,87091.4218,15179.3436,15904.4862,110445.2669,25574.5798,205525.41,191560.3997,184437.4941,62474.3352,49612.3679,51696.4394,69696.1645,27153.0367,153400.3033,71465.1989,146793.9836,112103.7578,38387.0368,51547.9448,69424.185,28844.9417,53093.6146,39741.1517,32455.5475,67552.8652,30483.8751,30240.7068,105832.1476,45245.15876,39831.5096,80657.0911,25040.1146,66281.104,61171.2171,20096.9547,23950.6475,59736.557,36032.5787,77821.1696,14647.0389,46731.5545,16020.2656,57944.6475
20070129,73927.299,265542.72,298959.3603,120451.74,159165.9584,426938.1422,229416.4694,377223.7437,171250.2966,61539.6552,121365.9361,89496.4372,187904.1921,228545.0235,177690.9434,198523.0494,97767.658,85086.77,28918.4416,106349.6429,81451.1702,155934.1601,45911.3795,18478.51137,81621.2947,73332.283,98802.3322,86931.7675,15418.2586,15810.0415,111029.1699,26087.883,205588.7851,191792.3481,184563.247,62193.0776,49749.4186,51593.3729,69443.162,26922.4377,152357.7109,71734.0983,148435.907,111822.5023,37991.7277,53947.3531,69680.1142,29056.4621,53464.6392,40137.9777,32161.4995,67608.217,30173.972,29990.6937,106078.4598,45033.60384,39525.8482,80825.9261,24999.4063,65929.8262,60676.2298,19959.1513,24088.7277,59804.4523,36114.2296,79066.4801,14811.7034,46739.1568,16074.2058,58143.4664
20070130,73591.8133,266574.24,298469.7445,120682.38,159408.8672,433878.8032,232358.8493,375555.9957,173708.1035,61572.7856,121197.1379,88926.3962,188192.6099,232175.7031,177300.9853,197064.2405,96720.6768,85716.11,29481.5266,108044.7858,81981.7967,159291.3334,45762.9911,18450.23082,82041.2414,75034.9351,97499.7306,87969.5205,15261.7281,15488.9295,112634.9034,26087.883,204669.8463,192488.1934,183473.3891,62105.1847,49490.545,51911.1612,69888.9284,27218.9222,152930.0539,72478.7429,149686.179,112056.8819,38563.6643,55127.39,70326.6724,29185.2136,54132.4834,40905.6084,32733.2595,68003.5867,30196.6479,29898.2976,106883.0797,44500.11752,39392.1213,81639.4039,25012.9758,67194.4263,61148.1945,20204.9628,24440.2047,59668.6617,36857.2536,78046.6138,14948.024,47043.2502,16198.9428,54856.9006
20070131,73746.6529,270798.56,302190.824,120855.36,161655.7731,432187.3816,234409.5989,375764.4642,176304.3785,62384.4796,121264.6572,88926.3962,189202.0722,235555.991,177950.9156,198773.1309,98286.5159,86838.433,29702.7386,109295.5708,83145.0933,158877.1367,46282.3506,18574.66524,82087.9021,75070.407,97152.3702,87290.9897,15517.12,15356.707,112459.7325,26374.729,204689.7464,193676.929,183159.007,62579.8068,51333.1161,52701.3377,70141.9309,27713.063,155151.3635,72747.6424,149354.7816,112220.9476,38992.6167,56622.1034,70394.0222,29576.0665,54849.7975,41679.7444,32835.3595,70818.6189,30241.9995,29941.7781,107129.3919,45585.48624,39678.6789,81347.7798,25401.966,68268.3328,61528.0684,19992.6711,24716.3652,61241.5697,37306.334,77595.7255,15056.0007,47225.7063,16296.7095,54563.1555
20070201,72895.0351,268833.76,299253.1297,121720.26,161473.5916,437903.2202,235568.7182,377640.6807,177273.6545,61970.35,121095.8589,88356.3552,191942.0412,236307.1661,179146.7873,199148.2532,98212.3934,87950.267,29783.1794,110776.7636,83838.9895,162343.3091,46549.4498,18682.13133,81061.3659,76134.5646,97977.3512,86293.1503,15941.4002,15658.93,110941.5845,25974.6544,206172.7768,194285.7936,183347.6362,62562.2282,52140.1926,53079.2483,69961.2148,27416.5785,149041.2151,72416.6892,149128.8289,112736.5827,39362.6933,56641.7707,71121.4002,32891.4185,55010.5748,42278.2362,32557.6475,71996.8205,30362.9373,29805.9015,107359.2833,46523.68632,39764.6462,81148.2475,25505.9982,68830.3773,61401.4438,20893.98,24917.2092,61977.1022,37502.2963,79055.7447,15105.9399,48016.3492,16650.6927,54335.5031
20070202,73043.8959,268489.92,295629.9733,122412.18,164813.5869,440586.1648,235122.9031,378057.6177,176304.3785,61605.916,121062.0993,90273.7658,193239.9213,238623.2894,179562.7427,200398.6608,98874.8638,88149.5581,29913.8956,110743.8482,83328.7717,161405.9166,46579.1275,18659.50689,81014.7051,76997.7147,97108.9501,86812.0268,15401.7817,15545.5963,111437.9021,25868.9743,206172.7768,193039.0709,181419.4261,62948.9573,52003.1419,53276.7924,70069.6444,27334.2217,148963.8715,72768.3269,149384.9087,113064.7141,39774.8241,56327.0942,71269.5698,32495.9673,55084.7798,42447.3751,33002.8035,71206.0812,30816.4539,30191.7912,106800.9756,46220.151,39630.9193,80841.2747,25334.1188,68248.2598,61815.8517,20636.9952,25092.9477,61784.7322,37690.0936,79624.7227,14976.3679,48168.3959,16620.3513,54247.3795
20070205,72345.7773,268932,289950.431,122700.48,167060.4928,441344.3882,235747.0443,379099.9601,176408.2295,62798.6092,120488.1853,88926.3962,193816.7569,236557.5578,180160.6786,202232.592,98467.1897,87341.905,29984.2812,110332.4057,83736.946,160839.1211,46875.9043,18501.13581,81469.6473,76997.7147,96783.2997,86013.7553,15307.0396,15734.4857,111204.3409,25680.2599,205573.2539,192227.2514,182090.1079,62790.75,51942.2305,53354.0923,70117.8354,27424.8142,144527.4397,72933.8035,151207.5944,112267.8235,39244.9417,56504.0997,70488.312,32197.0798,55072.4123,41952.9689,33341.7755,71735.8765,31209.5016,29512.4079,106456.1385,46082.1804,39401.6732,80580.3479,25424.5817,68017.4201,61366.9098,20428.4279,25469.5302,61863.9433,37575.7822,79098.6864,14880.5385,48092.3725,16529.327,54291.4413
20070206,72526.771,269914.4,288971.1995,122873.46,165663.7675,440119.5657,237218.2342,378474.5547,176546.6975,62417.6099,121197.1379,88200.8894,193456.2346,234804.8159,180680.6228,202482.6735,96333.5909,87195.059,30054.6668,109674.0978,84226.7551,159945.3282,46326.8671,18908.37573,81259.674,76702.1154,96913.5599,86253.2367,15764.2735,16131.1534,111175.1457,25416.0597,203806.2389,191357.4448,180287.6505,63318.1079,51957.4583,53860.8359,69949.167,27367.1644,145863.938,72789.0115,150409.2279,112619.3929,39236.5309,56543.4343,68683.337,32339.6262,55369.2319,41907.4315,33770.5955,71941.4688,31451.3772,29680.895,105733.6227,46551.28044,39888.8212,80518.9533,25587.4148,68659.7566,61286.3304,20376.286,25180.817,61829.9957,38065.6881,79367.0723,14921.0298,48274.8286,16498.9856,54541.1246
20070207,74250.5207,269914.4,287600.2755,124026.66,170582.6697,436211.7986,237886.957,376285.6354,177273.6545,62251.9581,121129.6186,87630.8484,191220.9967,232613.8886,181044.5838,202482.6735,95839.9177,87310.438,29803.2896,108999.3322,84410.4335,158353.9409,46059.768,19061.0907,81656.2903,76205.5085,96088.5789,86851.9404,16056.7385,16168.9313,111204.3409,25416.0597,203459.1467,190777.5738,180203.8153,63376.123,51881.319,53938.1358,70696.1268,27375.4001,145409.1573,72678.1727,149942.2588,112572.517,39219.7092,56759.7744,69033.5561,33217.8956,55307.3945,42701.0836,34146.3235,71443.303,31466.4944,29686.33,105914.2516,46919.20204,39965.2365,80503.6047,25840.7108,68760.1217,61286.3304,20473.1209,25092.9477,61581.0462,38024.8626,79356.3369,15103.2405,48814.5944,16627.0938,54820.1825
20070208,74276.377,267409.28,286523.1209,123161.76,170886.3056,440119.5657,237708.6309,372533.2025,176304.3785,63378.3906,120049.3098,86594.4102,190644.1612,233991.0429,180914.5977,201357.3066,95996.9955,86869.9,29883.7303,110052.6249,83859.3983,160773.7216,46119.1233,19117.6518,81399.6562,76796.7072,95350.4379,85494.8788,16106.1692,16150.0424,110795.6087,25227.3452,203806.2389,190661.5996,178610.946,63235.3263,51394.0275,53474.3365,70467.2198,27276.5719,145724.7194,72288.9717,150062.767,112174.0717,39724.3591,56445.0979,69020.0861,33181.1094,54849.7975,42694.5782,33807.3515,70786.9893,31428.7013,29468.9274,103960.1748,47038.77656,39755.0943,80027.7969,25610.0305,67763.2588,62046.0783,20640.7196,25306.3445,61343.4126,38024.8626,78722.9462,15486.5578,48487.6939,16734.9744,54812.8389
20070209,71768.3211,262300.8,283781.2729,121258.98,168275.0366,438719.7685,236237.4409,370344.2833,174538.9115,63461.2165,119374.1169,86542.5883,190211.5345,230986.3425,179224.7789,199940.178,95718.7434,85779.044,30074.777,110250.1173,83675.7198,159836.3291,45881.7019,20367.65211,80548.0978,76217.3325,95133.3377,84936.0887,15949.6386,16490.0433,110065.7299,24880.1107,203301.3775,190197.7027,178967.2457,63076.93,50891.5081,52967.5929,69310.6369,27103.6227,142897.0355,70383.935,148450.9705,111939.6921,39127.19,56091.0868,68535.1675,32721.2825,55109.5147,42154.6346,33492.8835,71166.5442,31406.0255,29468.9274,104945.4236,46974.39028,40137.1711,80227.3292,25320.5494,67295.2392,61907.9424,20607.1999,25306.3445,61366.0444,37755.4144,78969.8612,13982.9822,48137.9865,16687.7766,54739.4026
20070212,73155.9396,262448.16,283389.5803,119932.8,167242.6744,435103.6258,236460.3485,371490.86,174608.1455,63030.5217,120184.3484,86283.4788,189057.8633,231361.9301,178262.8821,198981.5321,94753.8367,84205.694,29893.7854,108670.1783,84573.7032,157656.3464,45273.3093,20197.96881,79894.8474,75200.4708,95198.4678,84497.0394,16003.1886,16338.9318,109686.1929,24533.7463,202449.4239,189791.793,179407.3807,63393.7226,51013.331,53079.2483,68672.1068,26757.7241,141783.2869,69482.6273,148496.1611,112314.6995,38681.416,54262.0296,69531.9447,32560.3431,55319.762,42024.5277,33284.5995,70533.9527,31814.1905,29218.9144,104633.4281,47001.9844,40404.6249,80918.0179,25239.1329,66757.5146,61689.227,20208.6873,25356.5555,61569.7303,37632.9379,79302.6597,13777.8265,48236.8169,16623.7225,54776.1207
20070213,73000.8022,263823.52,284270.8886,120509.4,165117.2228,440061.2408,239536.473,372845.9053,176373.6125,63063.6521,121095.8589,86076.1911,190283.6389,232801.6823,179692.7288,199981.8582,95382.148,86646.4996,30818.8537,110710.9328,85226.782,158768.1376,44917.1771,20695.70649,80256.4682,76382.8681,95415.568,85814.1874,16192.6729,15961.153,111058.3651,24526.2367,204184.885,189559.8446,180350.5269,63798.5132,51180.8375,53362.6811,69394.9711,26428.2969,142033.8804,70855.0731,148059.3191,112994.4003,39194.4767,54262.0296,69518.4747,32449.9846,55530.0092,42109.0972,33521.6215,70605.1192,32108.9763,29593.9339,104781.2155,47213.53932,40786.7017,80902.6693,25537.6602,66916.8404,62644.6676,19825.0723,25595.0577,61422.6238,37975.872,79860.9023,14130.1005,49301.1438,16576.5248,56127.3483
20070214,73517.9271,266132.16,287894.0449,121893.24,166756.8569,440936.1141,240963.0814,380142.3026,178000.6115,65697.5162,121568.494,86905.3417,191653.6234,232801.6823,180056.6897,199523.3754,97567.7739,87830.2241,30869.1292,111023.629,85165.5558,157372.9487,45926.2184,20644.8015,80256.4682,76453.8119,95654.3783,85734.3602,16534.5686,16074.4866,112780.8792,25036.8871,204721.3002,190922.5415,181063.1264,63710.5152,50921.9638,53628.9363,70708.1745,26947.1447,144146.9089,71182.8214,149430.0992,112220.9476,40456.1015,54517.7043,69558.8846,32978.7856,55678.4191,43039.3615,33558.5125,71119.0998,32426.4379,30300.4925,104025.858,47636.64916,41044.6036,80887.3207,25804.5256,67882.7532,62828.8489,20093.2303,25180.817,62078.9452,38816.8772,80537.2347,14579.5535,49673.6582,17021.5322,56428.437
20070215,73440.3583,266279.52,288481.5838,122873.46,167364.1288,439419.6671,240071.4511,376702.5724,177273.6545,68430.7714,121568.494,87630.8484,191293.1012,233052.074,179692.7288,201565.7079,97307.4734,88320.7766,30547.3663,108884.1283,85022.6949,155563.563,46237.8341,20610.86484,79649.8786,75425.1262,95263.5978,86412.891,16501.6148,16244.4871,112109.3906,24946.7723,205068.3925,190748.5802,180413.4034,63974.5091,51591.9897,53826.4804,70900.9383,27103.6227,142767.0982,71018.9472,149008.3207,112150.6337,40052.3816,54616.0407,72212.4671,33194.9042,55628.9491,43989.1419,33755.2645,72518.7085,32736.3409,30224.4016,105224.5775,47618.25308,41589.0631,81040.807,26188.9927,68639.5508,62230.2596,20253.3803,25105.5005,62192.104,38841.3725,79957.5212,14582.2529,49354.3602,16182.0864,56479.8424
20070216,73112.8459,265739.2,281431.1174,122412.18,167121.22,439128.0427,240963.0814,373888.2477,177412.1225,70418.5934,120724.5028,86542.5883,189634.6989,234617.0222,180836.6061,202065.8709,97352.3528,87830.2241,30215.5483,108867.6706,84573.7032,154364.5726,45673.9581,20554.30374,77841.775,74637.1803,96131.9989,86093.5824,16723.9924,16112.2645,112401.3422,24789.0715,205320.8232,189936.7608,180664.909,64449.698,50663.0902,54032.6134,71105.7499,26955.3804,145387.5011,71469.6011,149113.7653,112197.5097,39968.2732,54360.366,72670.4458,33135.1267,56049.4436,44021.6686,33640.4925,71775.7937,32630.5204,30246.1418,106111.3014,48262.11588,41493.5439,80564.9993,26143.7613,68390.6042,62310.839,19903.2851,25055.2895,62226.0517,38260.5377,79485.1621,14620.0448,49301.1438,16266.3681,56428.437
